Attribute	Label	Weight
word.prefix3:Chr	B-ORG	2.113335
next_word.lower():heur	B-ORG	2.106568
next_word.lower():botter	O	2.105047
word.suffix3:ein	B-LOC	2.094744
word.lower():koomst	B-PER	2.086171
word.prefix2:Ab	B-PER	2.08182
word.suffix2:na	B-PER	2.079041
word.suffix3:som	B-LOC	2.077284
prev_word.lower():hef	B-MISC	2.076072
word.lower():oostelke	B-MISC	2.074535
word.lower():drijoogje	B-PER	2.067008
next_word.lower():wad	B-LOC	2.065211
prev_word.lower():hail	B-LOC	2.060465
prev_word.lower():vieftig	B-MISC	2.058038
word.prefix3:Tru	B-PER	2.057066
next_word.lower():het	B-PER	2.054244
word.lower():god	B-PER	2.052462
word.suffix3:God	B-PER	2.052462
word.prefix3:Gab	B-PER	2.034479
word.suffix3:mer	B-LOC	2.032093
prev_word.lower():berend	B-PER	2.030889
word.suffix2:au	O	2.030245
word.suffix3:rau	O	2.029251
next_word.lower():speulen	B-ORG	2.021514
prev_word.lower():de	I-PER	2.019685
next_word.lower():maor	B-MISC	2.016034
word.lower():rien	B-MISC	2.014701
prev_word.lower():boukjes	I-PER	2.010972
next_word.lower():wind	B-MISC	2.008641
word.lower():tjoard	B-PER	2.004062
word.lower():louwe	B-PER	2.002191
prev_word.lower():'t	I-LOC	1.998982
word.suffix2:ie	B-ORG	1.991719
word.suffix3:GJE	B-PER	1.988368
word.suffix2:JE	B-PER	1.988368
prev_word.lower():oet	I-LOC	1.986984
prev_word.lower():lutje	B-PER	1.984512
word.prefix2:28	B-MISC	1.979983
word.lower():neijaor	B-MISC	1.977648
next_word.lower():’	B-PER	1.977356
word.suffix2:oa	B-PER	1.975778
word.suffix3:mst	B-PER	1.970364
prev_word.lower():gelukkig	B-MISC	1.965916
word.lower():loswerd	B-LOC	1.962143
word.prefix3:Los	B-LOC	1.962143
word.prefix3:Ger	B-PER	1.959886
word.lower():köningszeun	O	1.954974
prev_word.lower():ze	B-MISC	1.952448
word.prefix3:vru	B-PER	1.948367
word.lower():lijmdobbenveen	B-LOC	1.946002
word.prefix3:oos	B-MISC	1.944828
word.suffix2:ië	B-LOC	1.944512
word.wordshape():XXXXXXXX	B-MISC	1.944485
word.prefix2:Wo	O	1.941227
word.suffix3:örn	B-LOC	1.938915
prev_word.lower():eersten	B-MISC	1.938494
word.lower():grönnegen	B-LOC	1.934454
word.prefix2:Jo	B-PER	1.929968
word.prefix3:wao	B-ORG	1.926994
prev_word.lower():was	B-ORG	1.926699
word.wordshape():xxxxxxxxxx	O	1.926476
word.prefix2:ol	B-MISC	1.919879
word.lower():wad	I-LOC	1.919837
word.lower():wichtje	O	1.917952
word.lower():maon	B-PER	1.913624
next_word.lower():schommelde	B-PER	1.913624
word.lower():joap	B-PER	1.90918
word.suffix2:an	B-PER	1.904481
word.prefix3:hee	B-PER	1.901203
word.prefix3:Fra	B-MISC	1.899793
word.lower():godlinze	O	1.898885
word.lower():gòd	B-PER	1.898452
word.suffix3:Gòd	B-PER	1.898452
