Attribute	Label	Weight
word.prefix2:Ka	I-PER	1.430513
word.lower():maarten	B-PER	1.428921
word.lower():ketrien	B-PER	1.427787
word.prefix3:Vra	B-MISC	1.423641
word.prefix3:soa	B-PER	1.421688
word.suffix3:ert	B-PER	1.417992
next_word.lower():riek	B-MISC	1.414255
word.lower():joap	B-PER	1.414163
prev_word.lower():ze	B-MISC	1.412409
word.suffix3:uts	B-MISC	1.410531
word.suffix2:us	B-PER	1.407828
word.wordshape():xxxxxxx	O	1.407759
word.wordshape():xxxxx	B-PER	1.405863
word.lower():galileoa	B-LOC	1.405236
word.suffix3:eoa	B-LOC	1.405236
word.suffix2:lt	O	1.403663
prev_word.lower():ien	B-LOC	1.403129
word.suffix3:Jan	B-PER	1.401752
prev_word.lower():gain	B-MISC	1.401373
word.prefix3:Moe	O	1.400816
word.prefix3:Gle	B-LOC	1.400214
word.suffix3:pke	B-PER	1.399002
word.wordshape():Xxxxxx	B-PER	1.398087
word.lower():köningskinder	I-MISC	1.397229
prev_word.lower():twy	I-MISC	1.397229
word.wordshape():Xxxxxxxxxxxxxxx	B-MISC	1.393446
word.lower():herodes	B-PER	1.391501
word.prefix2:In	O	1.391241
word.prefix3:Dis	B-PER	1.389042
word.suffix3:ara	B-MISC	1.384919
word.prefix2:Fe	B-PER	1.381813
word.suffix3:Joa	O	1.378708
word.prefix2:am	B-MISC	1.378253
word.lower():wilm	B-PER	1.378038
word.suffix3:ilm	B-PER	1.378038
word.suffix2:ug	I-MISC	1.37495
next_word.lower():’	B-PER	1.374817
word.prefix3:Hol	B-MISC	1.374578
word.suffix2:kt	O	1.372957
prev_word.lower():op	B-LOC	1.371482
next_word.lower():ronddrieven	I-LOC	1.366763
word.suffix3:hap	B-ORG	1.363542
word.lower():stoffer	B-PER	1.363502
word.prefix3:Boa	O	1.361273
word.suffix2:st	I-LOC	1.361197
word.suffix3:fer	B-PER	1.36024
word.lower():wichtje	O	1.357957
next_word.lower():;	B-MISC	1.355167
word.suffix2:gs	B-MISC	1.351904
word.lower():willem	B-PER	1.348144
next_word.lower():ommeland	I-LOC	1.347337
word.lower():biene	B-PER	1.346437
word.prefix2:so	B-PER	1.343919
word.suffix3:arm	B-PER	1.343592
word.lower():pharizeeërs	B-MISC	1.342162
word.lower():maon	B-PER	1.341046
next_word.lower():schommelde	B-PER	1.341046
prev_word.lower():dat	B-PER	1.337756
word.lower():godlinze	O	1.337584
word.prefix3:Kön	I-MISC	1.336502
word.lower():knoal	B-LOC	1.336159
word.lower():grönnegen	B-LOC	1.335137
word.wordshape():Xxxxxxxxxxxxx	I-MISC	1.334985
word.suffix2:be	B-PER	1.334357
word.prefix3:Hom	B-PER	1.333506
word.lower():snijwitje	B-MISC	1.331165
word.suffix2:oo	B-LOC	1.327191
word.prefix3:Oos	B-MISC	1.325417
next_word.lower():tou	I-LOC	1.323851
word.lower():munsterlander	B-PER	1.323255
word.suffix3:oar	B-MISC	1.323012
word.wordshape():'x	O	1.321812
prev_word.lower():mor	O	1.321807
word.lower():hörn	B-LOC	1.32041
word.suffix2:te	B-LOC	1.318261
word.prefix2:vr	B-PER	1.317041
word.prefix3:Aiz	B-PER	1.316129
next_word.lower():boven	B-ORG	1.313869
word.suffix3:gie	B-LOC	1.313335
word.lower():krediet	O	1.312826
prev_word.lower():zangspel	O	1.312826
word.lower():hooghaorlemmerdieks	B-MISC	1.311592
word.lower():lienie	B-PER	1.311547
prev_word.lower():oal	B-PER	1.310904
word.prefix3:Bre	B-LOC	1.308225
next_word.lower():hemel	I-PER	1.305897
word.suffix2:ef	O	1.302749
word.lower():neitil	B-LOC	1.301948
word.prefix2:li	B-LOC	1.300446
word.suffix3:örg	B-LOC	1.299582
word.prefix3:Kno	B-LOC	1.299212
word.suffix3:ize	B-PER	1.299088
word.prefix2:Kö	I-MISC	1.297958
word.lower():stadion	I-LOC	1.296833
word.lower():zoltkamp	B-LOC	1.295917
prev_word.lower():den	I-LOC	1.290982
word.lower():cent	B-MISC	1.282344
word.suffix3:aid	O	1.277577
word.lower():isreliet	B-MISC	1.277388
word.lower():petrus	B-PER	1.277126
word.prefix3:Pet	B-PER	1.277126
word.prefix3:Eng	B-PER	1.277067
word.suffix3:aod	O	1.275501
word.lower():stad	B-LOC	1.274554
word.lower():pollerlaand	B-LOC	1.274288
word.prefix3:Pol	B-LOC	1.274288
word.prefix3:Com	O	1.272314
word.suffix3:erk	B-PER	1.270159
word.prefix3:Wil	B-PER	1.270119
word.wordshape():Xxxxxx	I-PER	1.269449
prev_word.lower():'t	I-LOC	1.269201
word.lower():kasperoom	B-PER	1.268772
word.prefix3:Mar	B-LOC	1.267742
word.suffix3:aos	B-PER	1.267616
word.lower():grunnegers	B-MISC	1.267537
word.lower():rozerood	B-PER	1.265843
word.wordshape():xxxxxxxxx	I-LOC	1.264177
word.lower():lutje	O	1.263791
next_word.lower():huil	B-PER	1.262505
prev_word.lower():van	I-PER	1.262201
word.prefix2:Aa	O	1.261087
word.lower():ommeland	I-LOC	1.260097
word.lower():luken	B-PER	1.260089
word.lower():viking	B-MISC	1.259452
word.prefix3:Vik	B-MISC	1.259452
word.suffix3:eel	O	1.258855
prev_word.lower():dou	B-ORG	1.258842
word.prefix3:Vro	O	1.258231
word.prefix3:Oud	B-LOC	1.257746
word.suffix3:dde	B-PER	1.255957
word.suffix3:nna	B-PER	1.254808
word.lower():winschoot	B-LOC	1.254438
word.lower():westerwolder	B-MISC	1.2538
word.suffix3:ert	B-MISC	1.253296
word.prefix3:Vle	O	1.251826
word.prefix3:twa	B-MISC	1.251014
word.wordshape():Xxxxx	B-PER	1.250259
word.suffix2:ap	B-ORG	1.248706
word.prefix3:Nei	B-LOC	1.247905
word.suffix3:nie	B-PER	1.244996
next_word.lower():wet	B-MISC	1.244627
word.istitle()	I-PER	1.244447
word.lower():nainoord	B-PER	1.244369
word.suffix2:ag	I-MISC	1.243022
word.prefix2:Gu	B-MISC	1.242841
next_word.lower():t	O	1.242594
word.lower():anna	B-PER	1.24175
prev_word.lower():aale	O	1.238244
word.lower():raguël	B-PER	1.238102
word.suffix3:uël	B-PER	1.238102
word.suffix3:ouw	O	1.236624
next_word.lower():dikemoa	B-PER	1.23604
word.prefix3:Lai	B-LOC	1.235662
word.suffix3:dam	B-LOC	1.234376
word.lower():heerepoorde	B-MISC	1.234299
word.lower():haarm	B-PER	1.23397
word.prefix2:d’	B-MISC	1.232758
word.prefix3:Rou	B-PER	1.228986
word.prefix2:zö	B-MISC	1.228561
word.suffix3:ans	B-PER	1.227213
next_word.lower():zien	B-PER	1.226721
word.lower():veelings	B-MISC	1.224966
word.lower():oude	B-LOC	1.224141
word.suffix2:ur	O	1.223013
prev_word.lower():om	O	1.222438
prev_word.lower():hait	O	1.221849
word.lower():hemel	I-PER	1.221805
next_word.lower():wil	B-PER	1.220018
prev_word.lower():jim	B-MISC	1.219613
next_word.lower():om	B-LOC	1.219434
word.prefix3:Bla	B-PER	1.218809
next_word.lower():paizerweg	B-LOC	1.218328
word.lower():israël	B-LOC	1.214784
word.lower():köningszeun	O	1.213012
word.prefix3:Oos	B-LOC	1.211467
word.lower():kremlin	B-MISC	1.210611
word.suffix3:lin	B-MISC	1.210611
word.prefix2:Ne	B-MISC	1.209383
word.lower():molema	B-PER	1.208107
word.prefix3:Mol	B-PER	1.208107
word.lower():winschoterdaip	I-LOC	1.204069
word.suffix3:ver	B-LOC	1.200912
word.lower():daiwerke	B-PER	1.200831
word.prefix3:Hee	B-PER	1.20075
word.lower():raainder	B-PER	1.200164
word.prefix3:Raa	B-PER	1.200164
prev_word.lower():edelvrouwe	B-PER	1.199266
next_word.lower():grotendrift	B-PER	1.199266
word.suffix3:sel	B-LOC	1.198889
word.prefix3:Men	B-ORG	1.195187
word.prefix2:Va	O	1.194218
next_word.lower():dei	I-MISC	1.192718
word.lower():jensema	B-PER	1.190934
word.prefix3:JEN	B-PER	1.190934
word.prefix2:JE	B-PER	1.190934
prev_word.lower():s.	B-PER	1.190934
prev_word.lower():laivm	B-PER	1.190179
word.wordshape():xxxxxxxxxxxxx	O	1.186793
next_word.lower():vrijdag	B-MISC	1.185793
next_word.lower():vroug	B-PER	1.185033
word.prefix3:Lom	B-MISC	1.183803
next_word.lower():moandag	B-PER	1.183259
word.lower():eekstermaiden	B-LOC	1.182685
prev_word.isupper()	I-MISC	1.182009
word.lower():hoogelandsters	B-MISC	1.180394
word.lower():zeun	B-MISC	1.179178
word.prefix2:St	I-PER	1.17905
word.prefix2:du	B-PER	1.178046
word.suffix3:eur	O	1.177399
word.lower():fivel	B-MISC	1.176699
word.prefix3:Poe	O	1.175537
word.suffix3:mel	I-PER	1.17513
word.suffix3:sum	B-LOC	1.174872
word.prefix2:wa	B-ORG	1.17314
word.suffix3:ril	B-PER	1.171106
word.prefix3:Ruz	B-MISC	1.169523
next_word.lower():aan	B-LOC	1.169022
word.suffix2:ad	I-LOC	1.168138
word.lower():zuden	B-LOC	1.166927
word.suffix3:Der	O	1.16685
word.lower():roon	B-LOC	1.166706
word.lower():vattekaon	B-MISC	1.166478
word.lower():delzielster	B-MISC	1.165366
word.suffix3:see	B-LOC	1.164752
prev_word.lower():den	O	1.163506
word.prefix3:Moa	O	1.163486
word.lower():mekkelbörgse	B-MISC	1.161896
prev_word.lower():deidaogse	B-MISC	1.161896
next_word.lower():laandwegen	B-MISC	1.161896
next_word.lower():cent	B-MISC	1.161829
word.lower():mensken	I-MISC	1.161287
word.prefix3:Hie	O	1.1599
word.prefix3:veu	B-MISC	1.159409
word.suffix3:ema	B-PER	1.157557
word.prefix3:vol	I-MISC	1.155604
word.prefix3:Til	B-PER	1.155192
prev_word.lower():j.	I-PER	1.155023
word.lower():gods	B-MISC	1.154546
word.suffix3:ods	B-MISC	1.154546
word.lower():pinkster	B-MISC	1.154208
word.lower():opèn	B-MISC	1.153995
word.suffix3:pèn	B-MISC	1.153995
word.prefix3:Opè	B-MISC	1.153995
word.suffix2:ma	B-PER	1.152679
word.prefix3:Oav	O	1.149998
prev_word.lower():grönnger	O	1.149716
prev_word.lower():zunige	O	1.149439
word.lower():maondblaad	O	1.148377
word.lower():moeke	O	1.148284
next_word.lower():heb	B-MISC	1.14702
word.lower():paiters	O	1.146075
word.prefix3:Old	B-LOC	1.144517
word.suffix3:aad	O	1.144389
next_word.lower():al	B-MISC	1.140909
next_word.lower():'t	O	1.140435
word.suffix3:olk	B-PER	1.139584
word.lower():tobit	B-PER	1.138336
word.lower():renze	B-PER	1.13825
word.prefix3:Koo	B-PER	1.138087
word.prefix3:sta	B-PER	1.137726
next_word.lower():kieken	B-MISC	1.137433
word.prefix3:ais	B-PER	1.137403
word.suffix3:bit	B-PER	1.137284
next_word.lower():zuidwest	B-LOC	1.13698
next_word.lower():botter	O	1.136844
word.lower():stadjeder	B-MISC	1.135233
word.suffix2:ng	B-ORG	1.134067
word.wordshape():xxxxxxxxxxxxxx	B-LOC	1.133234
